DATASET_BINARY
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,Source Type

#dataset color (can be changed later)
COLOR,#ff0000

#Binary datasets can contain one or more values for each node. Each value will be represented by a symbol (defined in FIELD_SHAPES) with corresponding color and label (from FIELD_COLORS and FIELD_LABELS). Possible values (defined under DATA below) for each node are 1 (filled shapes), 0 (empty shapes) and -1 (completely ommited).

#define colors for each individual field column (if not defined all symbols will use the main dataset color, defined in COLOR)
#shapes for each field column; possible choices are
#1: rectangle 
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
FIELD_LABELS,ClinicalOutbreak,ClinicalSporadic,EnvironmentalOutbreak,Unknown
FIELD_COLORS,#ff7f00,#800080,#ff7f00,#d9d9d9
FIELD_SHAPES,2,2,1,1

#all other optional settings can be set or changed later in the web interface (under 'Datasets' tab)

#show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,1

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#symbol height factor; Default symbol height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,1

#increase/decrease the spacing between individual levels, when there is more than one binary level defined 
SYMBOL_SPACING,-12

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#Actual data follows after the "DATA" keyword


LEGEND_TITLE,Source Type
LEGEND_SHAPES,2,2,1,1
LEGEND_LABELS,ClinicalOutbreak,ClinicalSporadic,EnvironmentalOutbreak,Unknown 
LEGEND_COLORS,#ff7f00,#800080,#ff7f00,#d9d9d9

DATA
C165-O_OH-2013-OC-ST222,1,-1,-1,-1
C166-O_OH-2013-OC-ST1742,1,-1,-1,-1
C171-O_MI-2010-OC-ST222,1,-1,-1,-1
C174-O_MD-2009-OC-ST222,1,-1,-1,-1
C237-O_NJ-2019-OC-ST222,1,-1,-1,-1
C238-O_OH-2019-OC-ST222,1,-1,-1,-1
C291-O_OH-2013-OC-ST222,1,-1,-1,-1
C167-S_MI-2015-CS-ST213,-1,1,-1,-1
C168-S_MI-2015-CS-ST213,-1,1,-1,-1
C169-S_MI-2015-CS-ST213,-1,1,-1,-1
C170-S_MI-2016-CS-ST222,-1,1,-1,-1
C172-S_CT-2006-CS-ST213,-1,1,-1,-1
C173-S_NY-2009-CS-ST222,-1,1,-1,-1
C175-S_IN-2009-CS-ST222,-1,1,-1,-1
C176-S_RI-2005-CS-ST213,-1,1,-1,-1
