"","geneNames","geneCounts","2006-2010"
"1","macA",20,1
"2","gyrA",20,1
"3","lapB_1",20,1
"4","folK",20,1
"5","group_1064",20,1
"6","mnmC",20,1
"7","yddE_1",20,1
"8","prpD",20,1
"9","group_1068",20,1
"10","outO",20,1
"11","group_1070",20,1
"12","apxIB",20,1
"13","group_1072",20,1
"14","lipB",20,1
"15","rlpA_1",20,1
"16","group_1075",20,1
"17","group_1076",20,1
"18","aceE",20,1
"19","csgA",20,1
"20","group_1079",20,1
"21","prkC_1",20,1
"22","group_1083",20,1
"23","bioH",20,1
"24","bioF",20,1
"25","coaE_1",20,1
"26","dusA",20,1
"27","recJ",20,1
"28","group_1090",20,1
"29","group_1091",20,1
"30","yciO",20,1
"31","pyrF",20,1
"32","lapB_2",20,1
"33","serC",20,1
"34","glpK",20,1
"35","adk",20,1
"36","arnT_1",20,1
"37","mdfA",20,1
"38","gudP_1",20,1
"39","anmK",20,1
"40","ycfH",20,1
"41","dnaX_1",20,1
"42","fabF_1",20,1
"43","fabD",20,1
"44","erpA",20,1
"45","dnaQ",20,1
"46","calB",20,1
"47","hutH",20,1
"48","dtpA_2",20,1
"49","rnhB",20,1
"50","iolX",20,1
"51","lpxB_1",20,1
"52","gspH",20,1
"53","fadA",20,1
"54","lysDH",20,1
"55","lnt",20,1
"56","fliS",20,1
"57","sauU_1",20,1
"58","rluD",20,1
"59","yfiH",20,1
"60","degP",20,1
"61","mdtG",20,1
"62","iolU",20,1
"63","trpB",20,1
"64","group_1139",20,1
"65","group_1140",20,1
"66","folD",20,1
"67","group_1142",20,1
"68","gloB",20,1
"69","yciB",20,1
"70","hmgA",20,1
"71","group_1146",20,1
"72","group_1147",20,1
"73","flgI",20,1
"74","flgE",20,1
"75","group_1150",20,1
"76","slyA",20,1
"77","group_1152",20,1
"78","pyrE",20,1
"79","cydB_1",20,1
"80","cydA_1",20,1
"81","group_1156",20,1
"82","hisG",20,1
"83","hisB",20,1
"84","hisH_1",20,1
"85","nagZ_1",20,1
"86","rdgC",20,1
"87","group_1162",20,1
"88","group_1163",20,1
"89","ribE",20,1
"90","group_1165",20,1
"91","maeB",20,1
"92","yiaD_1",20,1
"93","group_1168",20,1
"94","ybhS",20,1
"95","rpe",20,1
"96","group_1172",20,1
"97","group_1173",20,1
"98","ybhF_1",20,1
"99","parE",20,1
"100","gsiA",20,1
"101","proS",20,1
"102","mtcA2_1",20,1
"103","tolC",20,1
"104","pcm",20,1
"105","kbl",20,1
"106","ettA",20,1
"107","group_1185",20,1
"108","group_1186",20,1
"109","group_1187",20,1
"110","yueD",20,1
"111","cusS",20,1
"112","czcR",20,1
"113","gltT",20,1
"114","valS",20,1
"115","thiL",20,1
"116","ydiK",20,1
"117","group_1196",20,1
"118","nadE",20,1
"119","pleD",20,1
"120","epsN",20,1
"121","rmlD",20,1
"122","neuB_2",20,1
"123","group_1207",20,1
"124","dauA_1",20,1
"125","ppsA",20,1
"126","mreB",20,1
"127","rluE",20,1
"128","group_1212",20,1
"129","mepM_1",20,1
"130","xseA",20,1
"131","bepC",20,1
"132","group_1216",20,1
"133","trpD",20,1
"134","lptC",20,1
"135","ibaG",20,1
"136","murA",20,1
"137","lolC",20,1
"138","atoC_1",20,1
"139","ccmA",20,1
"140","ccmE",20,1
"141","ccmF",20,1
"142","ccmH_1",20,1
"143","group_1228",20,1
"144","pntB",20,1
"145","group_1231",20,1
"146","group_1233",20,1
"147","nagZ_2",20,1
"148","dapE_1",20,1
"149","group_1236",20,1
"150","group_1237",20,1
"151","group_1238",20,1
"152","murE",20,1
"153","etfA",20,1
"154","ald",20,1
"155","aroK_1",20,1
"156","kdgA",20,1
"157","recO",20,1
"158","group_125",20,1
"159","tktA",20,1
"160","pgk",20,1
"161","proQ_2",20,1
"162","dapB",20,1
"163","group_1263",20,1
"164","dsbA_2",20,1
"165","gcvPA",20,1
"166","group_1266",20,1
"167","msrA",20,1
"168","lpxD_2",20,1
"169","group_1270",20,1
"170","group_1272",20,1
"171","rnr",20,1
"172","group_1274",20,1
"173","group_1275",20,1
"174","group_1276",20,1
"175","ubiI",20,1
"176","group_1281",20,1
"177","group_1282",20,1
"178","uvrB",20,1
"179","group_1289",20,1
"180","merR",20,1
"181","group_1291",20,1
"182","prpB",20,1
"183","group_1293",20,1
"184","group_1294",20,1
"185","group_1295",20,1
"186","group_1296",20,1
"187","group_1297",20,1
"188","group_1300",20,1
"189","group_1301",20,1
"190","group_1302",20,1
"191","group_1303",20,1
"192","aguA",20,1
"193","dnaN",20,1
"194","dnaA",20,1
"195","group_1307",20,1
"196","group_1308",20,1
"197","group_1311",20,1
"198","group_1312",20,1
"199","parC",20,1
"200","group_1314",20,1
"201","rnt",20,1
"202","pyrC",20,1
"203","group_1317",20,1
"204","group_1319",20,1
"205","group_1320",20,1
"206","rsmE",20,1
"207","tatC",20,1
"208","panD",20,1
"209","czcB_1",20,1
"210","group_1331",20,1
"211","group_1332",20,1
"212","group_1335",20,1
"213","group_1337",20,1
"214","group_1338",20,1
"215","treA",20,1
"216","group_1340",20,1
"217","lepA",20,1
"218","moeZ_2",20,1
"219","group_1343",20,1
"220","group_1344",20,1
"221","mlaA",20,1
"222","gmhB",20,1
"223","rsmJ",20,1
"224","group_1348",20,1
"225","group_1349",20,1
"226","acsA_1",20,1
"227","liuE",20,1
"228","paaF",20,1
"229","group_1353",20,1
"230","thlA",20,1
"231","acdA_1",20,1
"232","msbA",20,1
"233","group_1357",20,1
"234","addA",20,1
"235","lysC",20,1
"236","group_1361",20,1
"237","alaS",20,1
"238","group_1365",20,1
"239","cynR_1",20,1
"240","fliM",20,1
"241","fliN",20,1
"242","fliO",20,1
"243","group_1370",20,1
"244","flhA",20,1
"245","flhF",20,1
"246","motB_1",20,1
"247","group_1375",20,1
"248","prfB",20,1
"249","lysU",20,1
"250","nrdB",20,1
"251","group_1379",20,1
"252","aat",20,1
"253","ftsK",20,1
"254","rarA",20,1
"255","fliE",20,1
"256","fliF",20,1
"257","fliG",20,1
"258","group_1386",20,1
"259","group_1387",20,1
"260","group_1388",20,1
"261","group_1389",20,1
"262","iscU",20,1
"263","sufA",20,1
"264","cyaA_3",20,1
"265","group_1395",20,1
"266","qorA",20,1
"267","ugpC",20,1
"268","fadE_1",20,1
"269","minE",20,1
"270","guaA",20,1
"271","tadA",20,1
"272","group_1402",20,1
"273","group_1403",20,1
"274","cpg2",20,1
"275","ung",20,1
"276","ubiG",20,1
"277","group_1408",20,1
"278","dsbD_2",20,1
"279","group_1411",20,1
"280","purL",20,1
"281","purM",20,1
"282","group_1414",20,1
"283","hemX",20,1
"284","hemD",20,1
"285","dsbB_1",20,1
"286","egtC_1",20,1
"287","group_1422",20,1
"288","group_1423",20,1
"289","pheT",20,1
"290","group_1425",20,1
"291","pacS_1",20,1
"292","group_1427",20,1
"293","hicd",20,1
"294","cphA_1",20,1
"295","yhcR",20,1
"296","rsmD",20,1
"297","ftsE",20,1
"298","group_1434",20,1
"299","panB",20,1
"300","group_1436",20,1
"301","zapE",20,1
"302","group_1438",20,1
"303","ychF",20,1
"304","group_1440",20,1
"305","group_1442",20,1
"306","murJ",20,1
"307","group_1445",20,1
"308","holC",20,1
"309","lptF",20,1
"310","group_1448",20,1
"311","group_1449",20,1
"312","sdeA_6",20,1
"313","group_1450",20,1
"314","smc_2",20,1
"315","zipA",20,1
"316","murB",20,1
"317","ftsQ",20,1
"318","group_1455",20,1
"319","drrA_1",20,1
"320","oatA_2",20,1
"321","group_1458",20,1
"322","fmt",20,1
"323","group_1460",20,1
"324","dnaX_2",20,1
"325","group_1464",20,1
"326","pnp",20,1
"327","rpsO",20,1
"328","truB",20,1
"329","nuoM",20,1
"330","nuoJ",20,1
"331","nuoI",20,1
"332","nuoH",20,1
"333","nuoF",20,1
"334","nqo5",20,1
"335","folP",20,1
"336","oatA_3",20,1
"337","group_1477",20,1
"338","group_1478",20,1
"339","dtpB",20,1
"340","group_1480",20,1
"341","group_1482",20,1
"342","hopD2",20,1
"343","group_1486",20,1
"344","bcp",20,1
"345","group_1488",20,1
"346","group_1489",20,1
"347","amiC_2",20,1
"348","group_1491",20,1
