"","geneNames","geneCounts","NC"
"1","macA",90,1
"2","gyrA",90,1
"3","lapB_1",90,1
"4","folK",90,1
"5","group_1064",90,1
"6","mnmC",90,1
"7","yddE_1",90,1
"8","prpD",90,1
"9","group_1068",90,1
"10","outO",90,1
"11","group_1070",90,1
"12","apxIB",90,1
"13","group_1072",90,1
"14","lipB",90,1
"15","rlpA_1",90,1
"16","group_1075",90,1
"17","group_1076",90,1
"18","aceE",90,1
"19","csgA",90,1
"20","group_1079",90,1
"21","prkC_1",90,1
"22","group_1083",90,1
"23","bioH",90,1
"24","bioF",90,1
"25","coaE_1",90,1
"26","dusA",90,1
"27","recJ",90,1
"28","group_1090",90,1
"29","group_1091",90,1
"30","yciO",90,1
"31","pyrF",90,1
"32","lapB_2",90,1
"33","serC",90,1
"34","glpK",90,1
"35","adk",90,1
"36","arnT_1",90,1
"37","mdfA",90,1
"38","gudP_1",90,1
"39","anmK",90,1
"40","ycfH",90,1
"41","dnaX_1",90,1
"42","fabF_1",90,1
"43","fabD",90,1
"44","erpA",90,1
"45","dnaQ",90,1
"46","calB",90,1
"47","hutH",90,1
"48","dtpA_2",90,1
"49","rnhB",90,1
"50","iolX",90,1
"51","lpxB_1",90,1
"52","gspH",90,1
"53","fadA",90,1
"54","lysDH",90,1
"55","lnt",90,1
"56","fliS",90,1
"57","sauU_1",90,1
"58","rluD",90,1
"59","yfiH",90,1
"60","degP",90,1
"61","mdtG",90,1
"62","iolU",90,1
"63","trpB",90,1
"64","group_1139",90,1
"65","group_1140",90,1
"66","folD",90,1
"67","group_1142",90,1
"68","gloB",90,1
"69","yciB",90,1
"70","hmgA",90,1
"71","group_1146",90,1
"72","group_1147",90,1
"73","flgI",90,1
"74","flgE",90,1
"75","group_1150",90,1
"76","slyA",90,1
"77","group_1152",90,1
"78","pyrE",90,1
"79","cydB_1",90,1
"80","cydA_1",90,1
"81","group_1156",90,1
"82","hisG",90,1
"83","hisB",90,1
"84","hisH_1",90,1
"85","nagZ_1",90,1
"86","rdgC",90,1
"87","group_1162",90,1
"88","group_1163",90,1
"89","ribE",90,1
"90","group_1165",90,1
"91","maeB",90,1
"92","yiaD_1",90,1
"93","group_1168",90,1
"94","ybhS",90,1
"95","rpe",90,1
"96","group_1172",90,1
"97","group_1173",90,1
"98","ybhF_1",90,1
"99","parE",90,1
"100","gsiA",90,1
"101","proS",90,1
"102","mtcA2_1",90,1
"103","tolC",90,1
"104","pcm",90,1
"105","kbl",90,1
"106","ettA",90,1
"107","group_1185",90,1
"108","group_1186",90,1
"109","group_1187",90,1
"110","yueD",90,1
"111","cusS",90,1
"112","czcR",90,1
"113","gltT",90,1
"114","valS",90,1
"115","thiL",90,1
"116","ydiK",90,1
"117","group_1196",90,1
"118","nadE",90,1
"119","pleD",90,1
"120","epsN",90,1
"121","rmlD",90,1
"122","neuB_2",90,1
"123","group_1207",90,1
"124","dauA_1",90,1
"125","ppsA",90,1
"126","mreB",90,1
"127","rluE",90,1
"128","group_1212",90,1
"129","mepM_1",90,1
"130","xseA",90,1
"131","bepC",90,1
"132","group_1216",90,1
"133","trpD",90,1
"134","lptC",90,1
"135","ibaG",90,1
"136","murA",90,1
"137","lolC",90,1
"138","atoC_1",90,1
"139","ccmA",90,1
"140","ccmE",90,1
"141","ccmF",90,1
"142","ccmH_1",90,1
"143","group_1228",90,1
"144","pntB",90,1
"145","group_1231",90,1
"146","group_1233",90,1
"147","nagZ_2",90,1
"148","dapE_1",90,1
"149","group_1236",90,1
"150","group_1237",90,1
"151","group_1238",90,1
"152","murE",90,1
"153","etfA",90,1
"154","ald",90,1
"155","aroK_1",90,1
"156","kdgA",90,1
"157","recO",90,1
"158","group_125",90,1
"159","tktA",90,1
"160","pgk",90,1
"161","proQ_2",90,1
"162","dapB",90,1
"163","group_1263",90,1
"164","dsbA_2",90,1
"165","gcvPA",90,1
"166","group_1266",90,1
"167","msrA",90,1
"168","lpxD_2",90,1
"169","group_1270",90,1
"170","group_1272",90,1
"171","rnr",90,1
"172","group_1274",90,1
"173","group_1275",90,1
"174","group_1276",90,1
"175","ubiI",90,1
"176","group_1281",90,1
"177","group_1282",90,1
"178","uvrB",90,1
"179","group_1289",90,1
"180","merR",90,1
"181","group_1291",90,1
"182","prpB",90,1
"183","group_1293",90,1
"184","group_1294",90,1
"185","group_1295",90,1
"186","group_1296",90,1
"187","group_1297",90,1
"188","group_1300",90,1
"189","group_1301",90,1
"190","group_1302",90,1
"191","group_1303",90,1
"192","aguA",90,1
"193","dnaN",90,1
"194","dnaA",90,1
"195","group_1307",90,1
"196","group_1308",90,1
"197","group_1311",90,1
"198","group_1312",90,1
"199","parC",90,1
"200","group_1314",90,1
"201","rnt",90,1
"202","pyrC",90,1
"203","group_1317",90,1
"204","group_1319",90,1
"205","group_1320",90,1
"206","rsmE",90,1
"207","tatC",90,1
"208","panD",90,1
"209","czcB_1",90,1
"210","group_1331",90,1
"211","group_1332",90,1
"212","group_1335",90,1
"213","group_1337",90,1
"214","group_1338",90,1
"215","treA",90,1
"216","group_1340",90,1
"217","lepA",90,1
"218","moeZ_2",90,1
"219","group_1343",90,1
"220","group_1344",90,1
"221","mlaA",90,1
"222","gmhB",90,1
"223","rsmJ",90,1
"224","group_1348",90,1
"225","group_1349",90,1
"226","acsA_1",90,1
"227","liuE",90,1
"228","paaF",90,1
"229","group_1353",90,1
"230","thlA",90,1
"231","acdA_1",90,1
"232","msbA",90,1
"233","group_1357",90,1
"234","addA",90,1
"235","lysC",90,1
"236","group_1361",90,1
"237","alaS",90,1
"238","group_1365",90,1
"239","cynR_1",90,1
"240","fliM",90,1
"241","fliN",90,1
"242","fliO",90,1
"243","group_1370",90,1
"244","flhA",90,1
"245","flhF",90,1
"246","motB_1",90,1
"247","group_1375",90,1
"248","prfB",90,1
"249","lysU",90,1
"250","nrdB",90,1
"251","group_1379",90,1
"252","aat",90,1
"253","ftsK",90,1
"254","rarA",90,1
"255","fliE",90,1
"256","fliF",90,1
"257","fliG",90,1
"258","group_1386",90,1
"259","group_1387",90,1
"260","group_1388",90,1
"261","group_1389",90,1
"262","iscU",90,1
"263","sufA",90,1
"264","cyaA_3",90,1
"265","group_1395",90,1
"266","qorA",90,1
"267","ugpC",90,1
"268","fadE_1",90,1
"269","minE",90,1
"270","guaA",90,1
"271","tadA",90,1
"272","group_1402",90,1
"273","group_1403",90,1
"274","cpg2",90,1
"275","ung",90,1
"276","ubiG",90,1
"277","group_1408",90,1
"278","dsbD_2",90,1
"279","group_1411",90,1
"280","purL",90,1
"281","purM",90,1
"282","group_1414",90,1
"283","hemX",90,1
"284","hemD",90,1
"285","dsbB_1",90,1
"286","egtC_1",90,1
"287","group_1422",90,1
"288","group_1423",90,1
"289","pheT",90,1
"290","group_1425",90,1
"291","pacS_1",90,1
"292","group_1427",90,1
"293","hicd",90,1
"294","cphA_1",90,1
"295","yhcR",90,1
"296","rsmD",90,1
"297","ftsE",90,1
"298","group_1434",90,1
"299","panB",90,1
"300","group_1436",90,1
"301","zapE",90,1
"302","group_1438",90,1
"303","ychF",90,1
"304","group_1440",90,1
"305","group_1442",90,1
"306","murJ",90,1
"307","group_1445",90,1
"308","holC",90,1
"309","lptF",90,1
"310","group_1448",90,1
"311","group_1449",90,1
"312","sdeA_6",90,1
"313","group_1450",90,1
"314","smc_2",90,1
"315","zipA",90,1
"316","murB",90,1
"317","ftsQ",90,1
"318","group_1455",90,1
"319","drrA_1",90,1
"320","oatA_2",90,1
"321","group_1458",90,1
"322","fmt",90,1
"323","group_1460",90,1
"324","dnaX_2",90,1
"325","group_1464",90,1
"326","pnp",90,1
"327","rpsO",90,1
"328","truB",90,1
"329","nuoM",90,1
"330","nuoJ",90,1
"331","nuoI",90,1
"332","nuoH",90,1
"333","nuoF",90,1
"334","nqo5",90,1
"335","folP",90,1
"336","oatA_3",90,1
"337","group_1477",90,1
"338","group_1478",90,1
"339","dtpB",90,1
"340","group_1480",90,1
"341","group_1482",90,1
"342","hopD2",90,1
"343","group_1486",90,1
"344","bcp",90,1
"345","group_1488",90,1
"346","group_1489",90,1
"347","amiC_2",90,1
"348","group_1491",90,1
"349","group_1492",90,1
