isolateAccession,SangerSequenceSBT,includedInAnalysisForMS,elGatoSTCalls,cdcID,samplesSet,Year,Region,State,Source,Type,panGenomeRegion,whyExcludeRegion,panGenomeYear,whyExcludeYear,NCBI_BioProject,NCBI_SRR,dataUseConfirmed,spadesAssemblyLength,spadesN50,spadesNumberOfContigs>1kbp,preQC-AvgReadLength,preQC-NumberOfReads,preQC-Coverage,preQC-OverallSequenceQuality,postQC-AvgReadLength,postQC-NumberOfReads,postQC-Coverage,postQC-OverallSequenceQuality,numOfSpacers(IA-IC-IF-IIB),CAS-TypeIA,CAS-TypeIC,CAS-TypeIF,CAS-TypeIIB,Legionella pneumophila str. Lens plasmid pLPL,Legionella pneumophila C9_S plasmid unamed2,Legionella pneumophila FFI102 ,Legionella pneumophila plasmid pLELO,Legionella sainthelensi LA01-117 plasmid pLA01-117_150k
C165,Y,included,222,D7235,cdc,2013,C,OH,Clinical,Outbreak,Include,None,2011-2015,None,PRJNA861313,SRR20447662,N/A,3452720,167313,45,249.4987429,2069497,151.4565097,Good,222.4833046,1883545,122.9216011,Good,45,0,1,0,0,0,0,0,0,0
C166,Y,included,1742,D7257,cdc,2013,C,OH,Clinical,Outbreak,Exclude,non-ST222 or ST213 isolate,Exclude,non-ST222 or ST213 isolate,PRJNA861313,SRR20447661,N/A,3456119,162847,48,250.1652238,548317,40.23587306,Good,222.4606543,487461,31.80884257,Good,45,0,1,0,0,0,0,0,0,0
C167,Y,included,213,D7856,cdc,2015,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447550,N/A,3411976,173274,44,246.4123395,613674,44.35626373,Good,222.9598142,582196,38.07593639,Good,43,0,1,0,0,0,0,0,0,0
C168,Y,included,213,D7861,cdc,2015,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447439,N/A,3525153,170268,47,247.9571637,1096828,79.77557996,Good,225.3527313,971272,64.20346638,Good,43,0,1,0,0,0,0,0,0,0
C169,Y,included,213,D7855,cdc,2015,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447498,N/A,3705077,164332,51,245.6127797,885749,63.81406529,Good,222.2255805,839310,54.71056861,Good,42,0,1,0,0,0,0,0,0,0
C170,Y,included,222,D7859,cdc,2016,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447487,N/A,3529107,164367,46,244.1905,1042504,74.67260042,Good,221.7522904,937497,60.98075293,Good,43,0,1,0,0,0,0,0,0,0
C171,Y,included,222,D5999,cdc,2010,NC,MI,Clinical,Outbreak,Include,None,2006-2010,None,PRJNA861313,SRR20447476,N/A,3529876,170813,51,248.4331641,640965,46.70879544,Good,216.3216981,574091,36.42802311,Good,43,0,1,0,0,0,0,0,0,0
C172,Y,included,213,D5591,cdc,2006,NE,CT,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447625,N/A,3564491,151060,49,249.1665867,525546,38.41097396,Good,223.3293311,420094,27.51991102,Good,43,0,1,0,0,0,0,0,0,0
C173,Y,included,222,D5881,cdc,2009,NE,NY,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447614,N/A,3417450,149410,48,246.6236657,438820,31.74504472,Good,223.5124598,400689,26.2702339,Good,43,0,1,0,0,0,0,0,0,0
C174,Y,included,222,D5910,cdc,2009,NE,MD,Clinical,Outbreak,Include,None,2006-2010,None,PRJNA861313,SRR20447603,N/A,3371005,149323,49,250.2870082,854784,62.75516457,Good,215.0691423,743930,46.93155641,Good,45,0,1,0,0,0,0,0,0,0
