,C165-O_OH-2013-OC-ST222,C166-O_OH-2013-OC-ST1742,C167-S_MI-2015-CS-ST213,C168-S_MI-2015-CS-ST213,C169-S_MI-2015-CS-ST213,C170-S_MI-2016-CS-ST222,C171-O_MI-2010-OC-ST222,C172-S_CT-2006-CS-ST213,C173-S_NY-2009-CS-ST222,C174-O_MD-2009-OC-ST222,C175-S_IN-2009-CS-ST222,C176-S_RI-2005-CS-ST213,C177-S_IL-2006-CS-ST213,C178-S_CT-2006-CS-ST213,C179-S_ME-2007-CS-ST213,C181-S_IL-2006-CS-ST222,C182-S_IL-2006-CS-ST222,C183-S_NY-2009-CS-ST222,C184-S_IN-2006-CS-ST289,C185-S_NY-2006-CS-ST289,C186-S_OH-2009-CS-ST222,C187-S_RI-2010-CS-ST213,C188-S_WI-2012-CS-ST213,C189-S_WI-2012-CS-ST213,C190-S_PA-2013-CS-ST213,C191-S_IL-2011-CS-ST222,C192-S_RI-2012-CS-ST222,C193-S_IL-2012-CS-ST222,C194-S_WI-2012-CS-ST222,C195-S_MI-2016-CS-ST222,C196-S_MI-2016-CS-ST222,C197-S_CO-2011-CS-ST222,C198-S_CT-2005-CS-ST276,C199-S_PA-2012-CS-ST213,C200-S_PA-2013-CS-ST213,C201-S_PA-2013-CS-ST222,C202-S_WI-2013-CS-ST213,C203-S_WI-2013-CS-ST213,C204-S_MA-2013-CS-ST213,C205-S_IL-2013-CS-ST213,C206-S_WI-2013-CS-ST213,C207-S_WI-2013-CS-ST222,C208-S_MA-2013-CS-ST222,C209-S_MA-2013-CS-ST222,C210-S_IL-2013-CS-ST222,C211-S_IL-2014-CS-ST222,C212-S_IN-2016-CS-ST222,C213-S_PA-2016-CS-ST222,C214-S_NY-2015-CS-ST289,C215-S_OH-1992-CS-ST213,C216-S_IL-1996-CS-ST213,C217-S_OH-2001-CS-ST213,C218-S_RI-2003-CS-ST213,C219-S_OH-2003-CS-ST213,C220-S_RI-2004-CS-ST213,C221-S_CT-2001-CS-ST222,C222-S_OH-2001-CS-ST222,C223-S_VT-2002-CS-ST222,C224-S_OH-2002-CS-ST222,C225-S_IL-2003-CS-ST222,C226-S_IL-2004-CS-ST222,C227-S_OH-1997-CS-ST213,C228-S_PA-1998-CS-ST222,C229-S_OH-2000-CS-ST222,C230-S_MO-2018-CS-ST222,C231-S_IN-2018-CS-ST222,C232-S_OH-2018-CS-STUNK,C233-S_OH-2018-CS-ST222,C234-S_WI-2018-CS-STUNK,C235-S_RI-2019-CS-ST222,C236-S_IN-2019-CS-STUNK,C237-O_NJ-2019-OC-ST222,C238-O_OH-2019-OC-ST222,C239-S_OH-2019-CS-STUNK,C240-S_IL-2019-CS-ST222,C241-S_OH-2019-CS-STUNK,C242-S_OH-2019-CS-ST222,C243-S_OH-2019-CS-ST213,C244-S_OH-2019-CS-ST213,C245-S_OH-2019-CS-STUNK,C246-S_OH-2020-CS-ST213,C247-S_NY-2013-CS-ST213,C248-S_MI-2007-CS-ST213,C249-S_MN-2005-CS-ST213,C250-S_MN-2005-CS-ST213,C251-S_MN-2008-CS-ST213,C252-S_MN-2008-CS-ST213,C253-S_MN-2015-CS-ST213,C254-S_MN-2017-CS-ST213,C255-S_MN-2017-CS-ST213,C256-S_MN-2018-CS-ST213,C257-S_IN-2019-CS-ST213,C258-S_MI-2012-CS-ST213,C259-S_MI-2013-CS-ST213,C260-S_MI-2013-CS-ST213,C261-S_MI-2013-CS-ST213,C262-S_MI-2013-CS-ST213,C263-S_MI-2014-CS-ST213,C264-S_MI-2016-CS-ST213,C265-S_MI-2017-CS-ST213,C266-S_MI-2018-CS-ST213,C267-S_MI-2019-CS-ST213,C268-S_MI-2019-CS-ST213,C269-S_MI-2019-CS-ST213,C270-S_NY-2016-CS-ST213,C271-S_NY-2017-CS-ST213,C272-S_NY-2017-CS-ST213,C273-S_NY-2018-CS-ST213,C275-S_MA-2007-CS-ST213,C276-S_MA-2011-CS-ST213,C277-S_NY-2017-CS-ST213,C278-S_NY-2013-CS-ST213,C279-S_NY-2016-CS-ST213,C280-S_MN-2008-CS-ST213,C281-S_MN-2018-CS-ST213,C282-S_MN-2018-CS-ST213,C283-S_MN-2018-CS-ST213,C284-S_MN-2018-CS-ST213,C285-S_MN-2019-CS-ST213,C286-S_MN-2019-CS-ST213,C287-S_MN-2019-CS-ST213,C288-S_MN-2019-CS-ST213,C290-S_CO-2018-CS-ST222,C291-O_OH-2013-OC-ST222,C292-S_IN-2018-CS-ST222,C293-S_MN-2013-CS-ST222,C294-S_MN-2019-CS-ST222,C295-S_MN-2019-CS-ST222,C296-S_MI-2010-CS-ST222,C297-S_MI-2013-CP-ST222,C298-S_MI-2013-CP-ST222,C299-S_MI-2013-CP-ST222,C300-S_MI-2013-CS-ST222,C301-S_MI-2013-CS-ST222,C302-S_MI-2013-CS-ST222,C303-S_MI-2013-CS-ST222,C304-S_MI-2014-CS-ST222,C305-S_MI-2015-CS-ST222,C306-S_MI-2015-CS-ST222,C307-S_MI-2016-CS-ST222,C308-S_MI-2016-CS-ST222,C309-S_MI-2016-CS-ST222,C310-S_MI-2017-CS-ST222,C311-S_MI-2018-CS-ST222,C312-S_MI-2018-CS-ST222,C313-S_MI-2018-CS-ST222,C314-S_MI-2018-CS-ST222,C315-S_MI-2018-CS-ST222,C316-S_MI-2019-CS-ST222,C317-S_MI-2019-CS-ST222,C318-S_MI-2019-CS-ST222,C319-S_MI-2019-CS-ST222,C320-S_MI-2019-CS-ST222,C321-S_MI-2020-CS-ST222,C322-S_CO-2011-CS-ST222,C323-S_CO-2017-CS-ST222,C324-S_CO-2018-CS-ST222,C325-S_NY-2016-CS-ST222,C326-S_NY-2016-CS-ST222,C327-S_NY-2016-CS-ST222,C328-S_NY-2017-CS-ST222,C329-S_NY-2017-CS-ST222,C330-S_NY-2017-CS-ST222,C331-S_NY-2017-CS-ST222,C332-S_NY-2017-CS-ST222,C333-S_NY-2017-CS-ST222,C334-S_NY-2017-CS-ST222,C335-S_NY-2017-CS-ST222,C336-S_NY-2017-CS-ST222,C337-S_NY-2017-CS-ST222,C338-S_NY-2016-CS-ST222,C339-S_NY-2018-CS-ST222,C340-S_NY-2017-CS-ST222,C341-S_NY-2015-CS-ST222,C342-S_NY-2015-CS-ST222,C343-S_NY-2012-CS-ST222,C344-S_NY-2016-CS-ST222,C345-S_MN-2018-CS-ST222,C346-S_IN-2017-CS-STUNK,C347-S_MN-2018-CS-STUNK,C348-S_MN-2019-CS-STUNK,C349-S_MI-2018-CS-STUNK,C350-S_MI-2019-CS-STUNK,C351-S_MI-2019-CS-STUNK,C352-S_MI-2019-CS-STUNK,C353-S_MI-2019-CS-STUNK,C354-S_NY-2018-CS-STUNK,C355-S_NY-2018-CS-STUNK,C356-S_NY-2018-CS-STUNK,C357-S_NY-2018-CS-STUNK,C358-S_NY-2018-CS-STUNK,C359-S_MN-2019-CS-STUNK,C360-S_MN-2019-CS-STUNK,C361-S_MN-2019-CS-STUNK,C362-S_MN-2019-CS-STUNK,C363-S_MN-2019-CS-STUNK,C364-S_MN-2019-CS-STUNK,C365-S_MN-2014-CS-ST227,C366-S_MN-2016-CS-ST227,C367-S_IN-2016-CS-ST289,E155-O_OH-2013-OE-ST222,E156-O_OH-2013-OE-ST222,E157-O_OH-2013-OE-ST222,E159-O_OH-2013-OE-ST222,E160-O_OH-2013-OE-ST222,E161-O_MI-2010-OE-ST222,E162-O_MI-2010-OE-ST222,E163-O_MI-2010-OE-ST222,E164-O_MI-2010-OE-ST222,E165-O_VT-2002-OE-ST222,E166-O_VT-2002-OE-ST222,E167-O_MD-2009-OE-ST222,E168-O_MD-2009-OE-ST222,E169-O_MD-2009-OE-ST222,E170-O_MD-2009-OE-ST222,E171-O_MD-2009-OE-ST222,E172-O_PA-2009-OE-ST222,E173-O_IL-2018-OE-ST213,E174-O_OH-2013-OE-ST222,U1-U_MA-UNK-UNK-STUNK,U11-U_NY-Unknown-UNK-STUNK,U12-U_NY-Unknown-UNK-ST2517,U2-U_MA-2016-UNK-ST213,U3-U_MA-UNK-UNK-STUNK,U4-U_MA-UNK-UNK-STUNK,U5-U_MA-UNK-UNK-STUNK,U6-U_MA-UNK-UNK-STUNK,U7-U_MN-2018-UNK-ST213,U8-U_NY-Unknown-UNK-ST213,U9-U_MI-2016-UNK-ST222
C165-O_OH-2013-OC-ST222,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C166-O_OH-2013-OC-ST1742,99.9966,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C167-S_MI-2015-CS-ST213,99.8486,99.8459,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C168-S_MI-2015-CS-ST213,99.7709,99.767,99.9659,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C169-S_MI-2015-CS-ST213,99.7708,99.7691,99.9611,99.9222,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C170-S_MI-2016-CS-ST222,99.9091,99.9089,99.8525,99.7994,99.8246,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C171-O_MI-2010-OC-ST222,99.9131,99.9079,99.8514,99.7979,99.8212,99.992,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C172-S_CT-2006-CS-ST213,99.7358,99.7321,99.9777,99.9319,99.9033,99.823,99.8222,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C173-S_NY-2009-CS-ST222,99.9259,99.9243,99.8481,99.8197,99.7869,99.9383,99.9463,99.8113,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C174-O_MD-2009-OC-ST222,99.9894,99.9891,99.8365,99.841,99.8499,99.9655,99.9958,99.8393,99.9567,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C175-S_IN-2009-CS-ST222,99.92,99.9169,99.7705,99.766,99.7723,99.8948,99.9012,99.7261,99.9043,99.9173,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C176-S_RI-2005-CS-ST213,99.8529,99.8536,99.97,99.9955,99.8107,99.8466,99.8486,99.9666,99.8538,99.8427,99.7729,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C177-S_IL-2006-CS-ST213,99.8302,99.8301,99.9311,99.9332,99.9021,99.8248,99.8236,99.8322,99.8058,99.8424,99.7596,99.9335,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C178-S_CT-2006-CS-ST213,99.7368,99.7365,99.9792,99.9328,99.905,99.8225,99.8246,99.9913,99.8178,99.8421,99.7319,99.9701,99.8313,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C179-S_ME-2007-CS-ST213,99.8338,99.832,99.9373,99.966,99.9407,99.8271,99.8286,99.9498,99.833,99.8227,99.7529,99.9654,99.8961,99.9542,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C181-S_IL-2006-CS-ST222,99.9332,99.9331,99.8475,99.769,99.7886,99.8957,99.9232,99.7556,99.884,99.9622,99.9428,99.8376,99.8137,99.7362,99.817,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C182-S_IL-2006-CS-ST222,99.8882,99.8812,99.8091,99.699,99.6986,99.8824,99.8854,99.742,99.9213,99.9472,99.8441,99.7325,99.7872,99.7469,99.7128,99.8931,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C183-S_NY-2009-CS-ST222,99.9396,99.94,99.8453,99.8331,99.8378,99.9571,99.9751,99.8061,99.9522,99.9808,99.9211,99.8335,99.8355,99.7919,99.8154,99.9578,99.9118,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C184-S_IN-2006-CS-ST289,99.6953,99.6932,99.9116,99.8523,99.8007,99.7349,99.7601,99.777,99.7367,99.7708,99.7199,99.8919,99.8712,99.7577,99.8651,99.7284,99.687,99.7591,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C185-S_NY-2006-CS-ST289,99.6628,99.66,99.8912,99.7467,99.6045,99.6839,99.7058,99.7772,99.7388,99.8005,99.6564,99.799,99.8538,99.7823,99.7626,99.6791,99.7104,99.7151,99.9075,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C186-S_OH-2009-CS-ST222,99.8813,99.8808,99.8252,99.7513,99.7446,99.8958,99.9449,99.7078,99.8645,99.952,99.8993,99.8332,99.7959,99.7111,99.8162,99.9245,99.8263,99.9538,99.7111,99.6386,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C187-S_RI-2010-CS-ST213,99.7857,99.784,99.9675,99.9297,99.7978,99.8562,99.8568,99.9777,99.8179,99.8419,99.7746,99.9787,99.933,99.9807,99.9494,99.8065,99.7014,99.8422,99.8671,99.7838,99.7716,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C188-S_WI-2012-CS-ST213,99.7318,99.732,99.915,99.8917,99.8579,99.7383,99.7386,99.8721,99.746,99.7905,99.721,99.9446,99.8718,99.8722,99.9142,99.7286,99.6386,99.7926,99.7819,99.7037,99.6617,99.8645,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C189-S_WI-2012-CS-ST213,99.8713,99.8674,99.9396,99.8265,99.7564,99.7698,99.7749,99.7645,99.7931,99.8344,99.7961,99.8979,99.9243,99.7712,99.8861,99.8266,99.671,99.8256,99.8097,99.7032,99.7491,99.8331,99.7902,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C190-S_PA-2013-CS-ST213,99.7909,99.7907,99.9796,99.9337,99.9085,99.8613,99.8645,99.8848,99.8123,99.8422,99.7772,99.9816,99.9334,99.8884,99.9529,99.8041,99.751,99.8452,99.8615,99.8383,99.8204,99.9908,99.872,99.9049,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C191-S_IL-2011-CS-ST222,99.9764,99.9762,99.8368,99.8447,99.8189,99.9706,99.9678,99.8364,99.961,99.9562,99.9154,99.8439,99.853,99.8457,99.8262,99.9614,99.9715,99.979,99.7719,99.7861,99.9547,99.8427,99.7924,99.8394,99.8466,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C192-S_RI-2012-CS-ST222,99.9399,99.937,99.8541,99.8593,99.7991,99.9438,99.9486,99.8397,99.9817,99.9711,99.8654,99.7966,99.7716,99.8415,99.8411,99.9442,99.8953,99.9354,99.7325,99.6686,99.9097,99.8027,99.8073,99.7843,99.8175,99.9821,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C193-S_IL-2012-CS-ST222,99.9326,99.9301,99.8396,99.7959,99.8028,99.9188,99.9488,99.7523,99.9291,99.9674,99.9328,99.8225,99.8081,99.7678,99.804,99.9804,99.9288,99.9632,99.7418,99.6952,99.884,99.8046,99.7427,99.7987,99.8083,99.9689,99.952,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
