	C165-O_OH-2013-OC-ST222	C170-S_MI-2016-CS-ST222	C171-O_MI-2010-OC-ST222	C173-S_NY-2009-CS-ST222	C174-O_MD-2009-OC-ST222	C175-S_IN-2009-CS-ST222	C181-S_IL-2006-CS-ST222	C182-S_IL-2006-CS-ST222	C183-S_NY-2009-CS-ST222	C186-S_OH-2009-CS-ST222	C191-S_IL-2011-CS-ST222	C192-S_RI-2012-CS-ST222	C193-S_IL-2012-CS-ST222	C194-S_WI-2012-CS-ST222	C195-S_MI-2016-CS-ST222	C196-S_MI-2016-CS-ST222	C197-S_CO-2011-CS-ST222	C201-S_PA-2013-CS-ST222	C207-S_WI-2013-CS-ST222	C208-S_MA-2013-CS-ST222	C209-S_MA-2013-CS-ST222	C210-S_IL-2013-CS-ST222	C211-S_IL-2014-CS-ST222	C212-S_IN-2016-CS-ST222	C213-S_PA-2016-CS-ST222	C221-S_CT-2001-CS-ST222	C222-S_OH-2001-CS-ST222	C223-S_VT-2002-CS-ST222	C224-S_OH-2002-CS-ST222	C225-S_IL-2003-CS-ST222	C226-S_IL-2004-CS-ST222	C228-S_PA-1998-CS-ST222	C229-S_OH-2000-CS-ST222	C230-S_MO-2018-CS-ST222	C231-S_IN-2018-CS-ST222	C233-S_OH-2018-CS-ST222	C235-S_RI-2019-CS-ST222	C237-O_NJ-2019-OC-ST222	C238-O_OH-2019-OC-ST222	C240-S_IL-2019-CS-ST222	C242-S_OH-2019-CS-ST222	C290-S_CO-2018-CS-ST222	C291-O_OH-2013-OC-ST222	C292-S_IN-2018-CS-ST222	C293-S_MN-2013-CS-ST222	C294-S_MN-2019-CS-ST222	C295-S_MN-2019-CS-ST222	C296-S_MI-2010-CS-ST222	C297-S_MI-2013-CP-ST222	C298-S_MI-2013-CP-ST222	C299-S_MI-2013-CP-ST222	C300-S_MI-2013-CS-ST222	C301-S_MI-2013-CS-ST222	C302-S_MI-2013-CS-ST222	C303-S_MI-2013-CS-ST222	C304-S_MI-2014-CS-ST222	C305-S_MI-2015-CS-ST222	C306-S_MI-2015-CS-ST222	C307-S_MI-2016-CS-ST222	C308-S_MI-2016-CS-ST222	C309-S_MI-2016-CS-ST222	C310-S_MI-2017-CS-ST222	C311-S_MI-2018-CS-ST222	C312-S_MI-2018-CS-ST222	C313-S_MI-2018-CS-ST222	C314-S_MI-2018-CS-ST222	C315-S_MI-2018-CS-ST222	C316-S_MI-2019-CS-ST222	C317-S_MI-2019-CS-ST222	C318-S_MI-2019-CS-ST222	C319-S_MI-2019-CS-ST222	C320-S_MI-2019-CS-ST222	C321-S_MI-2020-CS-ST222	C322-S_CO-2011-CS-ST222	C323-S_CO-2017-CS-ST222	C324-S_CO-2018-CS-ST222	C325-S_NY-2016-CS-ST222	C326-S_NY-2016-CS-ST222	C327-S_NY-2016-CS-ST222	C328-S_NY-2017-CS-ST222	C329-S_NY-2017-CS-ST222	C330-S_NY-2017-CS-ST222	C331-S_NY-2017-CS-ST222	C332-S_NY-2017-CS-ST222	C333-S_NY-2017-CS-ST222	C334-S_NY-2017-CS-ST222	C335-S_NY-2017-CS-ST222	C336-S_NY-2017-CS-ST222	C337-S_NY-2017-CS-ST222	C338-S_NY-2016-CS-ST222	C339-S_NY-2018-CS-ST222	C340-S_NY-2017-CS-ST222	C341-S_NY-2015-CS-ST222	C342-S_NY-2015-CS-ST222	C343-S_NY-2012-CS-ST222	C344-S_NY-2016-CS-ST222	C345-S_MN-2018-CS-ST222	E155-O_OH-2013-OE-ST222	E156-O_OH-2013-OE-ST222	E157-O_OH-2013-OE-ST222	E159-O_OH-2013-OE-ST222	E160-O_OH-2013-OE-ST222	E161-O_MI-2010-OE-ST222	E162-O_MI-2010-OE-ST222	E163-O_MI-2010-OE-ST222	E164-O_MI-2010-OE-ST222	E165-O_VT-2002-OE-ST222	E166-O_VT-2002-OE-ST222	E167-O_MD-2009-OE-ST222	E168-O_MD-2009-OE-ST222	E169-O_MD-2009-OE-ST222	E170-O_MD-2009-OE-ST222	E171-O_MD-2009-OE-ST222	E172-O_PA-2009-OE-ST222	E174-O_OH-2013-OE-ST222	U1-U_MA-UNK-UNK-STUNK	U4-U_MA-UNK-UNK-STUNK	U5-U_MA-UNK-UNK-STUNK	U6-U_MA-UNK-UNK-STUNK	U9-U_MI-2016-UNK-ST222
C165-O_OH-2013-OC-ST222	100	99.9091	99.9132	99.926	99.9894	99.9201	99.9332	99.8882	99.9396	99.8813	99.9764	99.9399	99.9326	99.9958	99.8853	99.7964	99.9125	99.9947	99.8869	99.9559	99.909	99.9128	99.9938	99.873	99.8093	99.899	99.8614	99.9366	99.9163	99.8941	99.9398	99.9399	99.8595	99.9472	99.933	99.9968	99.9281	99.9595	99.8798	99.9002	99.9118	99.9175	99.9929	99.9353	99.9462	99.828	99.9177	99.9429	99.9296	99.9263	99.9125	99.9087	99.8768	99.9008	99.9181	99.9693	99.9549	99.9124	99.9107	99.8671	99.9796	99.8094	99.9232	99.9848	99.8996	99.8996	99.9098	99.9762	99.9749	99.9577	99.908	99.9869	99.9283	99.9082	99.8551	99.958	99.8313	99.9318	99.8817	99.8659	99.984	99.9848	99.9849	99.8882	99.9018	99.9003	99.8565	99.9137	99.8853	99.9107	99.9811	99.8872	99.9376	99.9263	99.9076	99.9382	99.8994	99.9958	99.9984	99.9966	99.997	99.9959	99.9121	99.9132	99.9113	99.9105	99.9372	99.9374	99.9896	99.9903	99.9892	99.9893	99.9891	99.9896	99.9936	99.9454	99.9063	99.8312	99.923	99.8713
C170-S_MI-2016-CS-ST222	99.9091	100	99.992	99.9383	99.9655	99.8948	99.8957	99.8824	99.9571	99.8958	99.9706	99.9438	99.9188	99.8927	99.925	99.7897	99.9176	99.8879	99.909	99.9465	99.9218	99.8745	99.9589	99.8299	99.8809	99.9073	99.891	99.9438	99.9972	99.8641	99.9444	99.9473	99.9453	99.9197	99.9164	99.8979	99.9369	99.9508	99.9101	99.8735	99.9123	99.8559	99.9063	99.9154	99.9191	99.8848	99.8986	99.9307	99.9178	99.915	99.9949	99.9686	99.9587	99.9897	99.9266	99.9557	99.9501	99.9931	99.9974	99.9177	99.9414	99.7781	99.9065	99.9889	99.8684	99.9895	99.9965	99.9672	99.9666	99.8643	99.9963	99.8908	99.9182	99.9312	99.9263	99.884	99.8938	99.9065	99.9448	99.8359	99.9873	99.9629	99.9951	99.9657	99.8917	99.8746	99.9452	99.9208	99.9692	99.9883	99.99	99.9603	99.9488	99.9426	99.8844	99.9246	99.9074	99.8826	99.8834	99.8847	99.8841	99.8841	99.993	99.9903	99.993	99.9926	99.9437	99.9437	99.972	99.9691	99.9716	99.9677	99.9657	99.9661	99.9053	99.8335	99.9172	99.9208	99.9318	99.8474
C171-O_MI-2010-OC-ST222	99.9132	99.992	100	99.9463	99.9958	99.9012	99.9232	99.8854	99.9751	99.9449	99.9678	99.9486	99.9488	99.896	99.9085	99.7927	99.9469	99.8967	99.9299	99.9521	99.9474	99.8796	99.959	99.8333	99.8663	99.9112	99.8942	99.9453	99.994	99.9052	99.9486	99.9493	99.9439	99.926	99.9182	99.8952	99.9401	99.978	99.9086	99.8745	99.9151	99.8746	99.9095	99.9202	99.9264	99.9112	99.9038	99.9366	99.9205	99.9167	99.9966	99.9707	99.9617	99.9919	99.9484	99.958	99.9492	99.9954	99.9946	99.92	99.9684	99.7846	99.9085	99.992	99.8641	99.9889	99.9949	99.9698	99.9683	99.8892	99.9961	99.8897	99.9202	99.9423	99.9271	99.8863	99.8972	99.9038	99.9709	99.8597	99.9915	99.9896	99.9943	99.9647	99.8974	99.9052	99.9446	99.9196	99.9705	99.9948	99.9906	99.9603	99.9475	99.9472	99.9109	99.9232	99.9106	99.9108	99.9124	99.9107	99.912	99.9113	99.997	99.9967	99.9957	99.9942	99.9462	99.9464	99.9677	99.9966	99.9667	99.9929	99.9683	99.9686	99.9029	99.8547	99.9431	99.9205	99.9329	99.8688
C173-S_NY-2009-CS-ST222	99.926	99.9383	99.9463	100	99.9567	99.9043	99.884	99.9213	99.9522	99.8645	99.961	99.9817	99.9291	99.9317	99.9485	99.8004	99.9511	99.93	99.9206	99.9646	99.9545	99.9107	99.952	99.8499	99.8823	99.9517	99.9545	99.9801	99.944	99.9537	99.9821	99.9821	99.9435	99.9294	99.9176	99.933	99.9756	99.9499	99.9261	99.883	99.8896	99.8794	99.9204	99.9199	99.9285	99.8818	99.886	99.9442	99.9302	99.9263	99.9463	99.9189	99.9116	99.941	99.9161	99.9704	99.9611	99.9408	99.9776	99.9237	99.9569	99.7998	99.9183	99.9805	99.8758	99.9322	99.946	99.9762	99.9796	99.9058	99.9438	99.9321	99.9771	99.9644	99.946	99.9116	99.92	99.9518	99.9248	99.8969	99.9782	99.9525	99.9812	99.9474	99.8834	99.9254	99.9178	99.9599	99.9428	99.9451	99.9696	99.9448	99.9813	99.9941	99.9241	99.9569	99.8939	99.8983	99.8994	99.8986	99.8987	99.9005	99.9459	99.9457	99.9463	99.9431	99.9788	99.9797	99.957	99.9569	99.9557	99.9564	99.957	99.957	99.9184	99.9019	99.9539	99.943	99.9783	99.8473
C174-O_MD-2009-OC-ST222	99.9894	99.9655	99.9958	99.9567	100	99.9173	99.9622	99.9471	99.9808	99.952	99.9562	99.9711	99.9674	99.9698	99.9807	99.785	99.9655	99.9658	99.9562	99.9462	99.9685	99.942	99.9895	99.9149	99.8998	99.9662	99.964	99.9687	99.9668	99.9652	99.9709	99.9716	99.9695	99.9185	99.9142	99.9708	99.987	99.9612	99.9602	99.8972	99.9548	99.9401	99.9863	99.9167	99.9186	99.9234	99.9649	99.9563	99.9684	99.9655	99.9708	99.9651	99.9346	99.9653	99.921	99.9593	99.9749	99.9657	99.9693	99.9668	99.9949	99.8342	99.9219	99.9691	99.9255	99.9854	99.9688	99.9667	99.9685	99.9662	99.9926	99.9702	99.9649	99.9594	99.9666	99.9782	99.9914	99.9911	99.9941	99.9352	99.9665	99.9879	99.995	99.9711	99.9302	99.9618	99.9605	99.9734	99.9693	99.9678	99.9685	99.9677	99.9703	99.9571	99.988	99.994	99.9497	99.9859	99.9883	99.9847	99.9868	99.9877	99.9713	99.9693	99.9705	99.9693	99.9684	99.9688	99.9957	99.9972	99.9949	99.9944	99.9967	99.995	99.9885	99.9889	99.9676	99.9647	99.9663	99.9249
C175-S_IN-2009-CS-ST222	99.9201	99.8948	99.9012	99.9043	99.9173	100	99.9428	99.8441	99.9211	99.8993	99.9154	99.8654	99.9328	99.9221	99.9262	99.7171	99.892	99.9197	99.9145	99.8856	99.8901	99.8304	99.9222	99.9949	99.8115	99.8803	99.8539	99.8631	99.9117	99.872	99.8649	99.8664	99.8547	99.9714	99.971	99.9233	99.8726	99.9502	99.9049	99.9523	99.9421	99.8832	99.9385	99.9729	99.9714	99.8802	99.9355	99.9201	99.8744	99.8713	99.8997	99.9001	99.8669	99.9002	99.8977	99.8871	99.9014	99.9014	99.9011	99.895	99.8968	99.7648	99.8434	99.8991	99.8573	99.913	99.8998	99.9037	99.9045	99.918	99.924	99.8985	99.8562	99.8692	99.8323	99.922	99.8537	99.8508	99.9071	99.8083	99.8945	99.9192	99.923	99.9103	99.8918	99.852	99.9216	99.8642	99.9042	99.9002	99.9155	99.9076	99.8644	99.9037	99.8605	99.8625	99.9113	99.9177	99.9207	99.9157	99.9186	99.9196	99.901	99.9003	99.9004	99.9006	99.8628	99.8631	99.9173	99.9167	99.9159	99.9168	99.9172	99.9168	99.9386	99.8528	99.89	99.8563	99.8487	99.855
C181-S_IL-2006-CS-ST222	99.9332	99.8957	99.9232	99.884	99.9622	99.9428	100	99.8931	99.9578	99.9245	99.9614	99.9442	99.9804	99.9484	99.9087	99.8013	99.946	99.9441	99.9054	99.9516	99.9439	99.9078	99.9658	99.9105	99.8621	99.9313	99.877	99.9423	99.9308	99.887	99.9428	99.943	99.8803	99.9412	99.9082	99.9492	99.9302	99.9804	99.9161	99.9051	99.9264	99.9081	99.9514	99.9155	99.9338	99.8962	99.942	99.9679	99.9486	99.9446	99.9131	99.9183	99.8878	99.9177	99.9424	99.9622	99.9541	99.9213	99.8603	99.8804	99.9496	99.8242	99.9132	99.9782	99.9424	99.9129	99.9215	99.9731	99.973	99.9364	99.9231	99.9337	99.9262	99.9199	99.8363	99.9433	99.8862	99.9116	99.9314	99.8517	99.9782	99.978	99.9824	99.9398	99.9142	99.8909	99.9426	99.9266	99.9312	99.917	99.963	99.9386	99.9443	99.9059	99.9282	99.9434	99.9133	99.9547	99.9556	99.9528	99.9549	99.951	99.9181	99.9191	99.9207	99.9165	99.9404	99.9402	99.9866	99.9893	99.9882	99.9843	99.983	99.98	99.9481	99.8836	99.9397	99.89	99.9051	99.8651
C182-S_IL-2006-CS-ST222	99.8882	99.8824	99.8854	99.9213	99.9471	99.8441	99.8931	100	99.9118	99.8263	99.9715	99.8953	99.9288	99.8677	99.8544	99.6675	99.9012	99.8744	99.8076	99.8716	99.9052	99.8311	99.8206	99.8144	99.755	99.8686	99.8594	99.8967	99.8793	99.9064	99.8911	99.8951	99.8983	99.8527	99.8457	99.8711	99.9197	99.9012	99.8546	99.8335	99.863	99.8971	99.8956	99.8473	99.8462	99.7824	99.8926	99.9242	99.9117	99.9016	99.8769	99.8315	99.846	99.8763	99.9164	99.8994	99.9223	99.8021	99.8762	99.9221	99.9197	99.6509	99.8309	99.9122	99.7946	99.8764	99.8778	99.9444	99.9463	99.8916	99.8937	99.8804	99.8652	99.9038	99.8516	99.8973	99.8285	99.8637	99.9127	99.9331	99.9074	99.9143	99.9408	99.8616	99.8843	99.9638	99.7665	99.8849	99.8595	99.8651	99.9254	99.8581	99.9009	99.9219	99.907	99.8835	99.9106	99.885	99.8778	99.8755	99.8775	99.8797	99.8737	99.8782	99.8792	99.8822	99.8885	99.8984	99.9749	99.9799	99.9771	99.9744	99.9658	99.9388	99.8939	99.876	99.9055	99.8344	99.8758	99.8074
C183-S_NY-2009-CS-ST222	99.9396	99.9571	99.9751	99.9522	99.9808	99.9211	99.9578	99.9118	100	99.9538	99.979	99.9354	99.9632	99.9601	99.9726	99.7914	99.9205	99.9634	99.9286	99.9426	99.92	99.8582	99.9257	99.9034	99.8853	99.9194	99.929	99.93	99.9751	99.921	99.9298	99.935	99.9349	99.9187	99.916	99.9643	99.936	99.9531	99.9633	99.8894	99.9582	99.9642	99.9733	99.9191	99.9186	99.9226	99.958	99.9348	99.9604	99.9554	99.9732	99.9656	99.9361	99.977	99.9249	99.9713	99.9737	99.9621	99.9724	99.9562	99.9819	99.8426	99.9239	99.9735	99.9294	99.9779	99.9727	99.9504	99.9466	99.9648	99.9838	99.9788	99.9023	99.9128	99.93	99.9642	99.9028	99.908	99.964	99.8921	99.9723	99.9728	99.9911	99.9758	99.9535	99.9278	99.9498	99.9185	99.975	99.966	99.9664	99.9741	99.9323	99.9656	99.9274	99.9051	99.9805	99.9383	99.9367	99.9339	99.9361	99.9349	99.9735	99.9695	99.9721	99.9729	99.9295	99.9331	99.9541	99.9539	99.9532	99.9531	99.9511	99.9522	99.9752	99.9172	99.9174	99.9247	99.9264	99.9115
C186-S_OH-2009-CS-ST222	99.8813	99.8958	99.9449	99.8645	99.952	99.8993	99.9245	99.8263	99.9538	100	99.9547	99.9097	99.884	99.8826	99.9207	99.7789	99.8976	99.8806	99.8724	99.9367	99.883	99.8629	99.9102	99.854	99.8845	99.9018	99.8278	99.9238	99.9014	99.8636	99.9263	99.9088	99.8531	99.9243	99.9155	99.8826	99.8982	99.8906	99.898	99.8406	99.8675	99.8899	99.8738	99.9183	99.9235	99.8982	99.9061	99.9205	99.8974	99.8965	99.8975	99.8731	99.862	99.8927	99.9053	99.9555	99.9437	99.8976	99.8819	99.9049	99.9425	99.7451	99.8946	99.9715	99.8759	99.8912	99.8963	99.954	99.9533	99.8495	99.9274	99.8725	99.8994	99.9101	99.9005	99.9206	99.8455	99.8885	99.9111	99.7989	99.9701	99.9451	99.9736	99.9365	99.858	99.8298	99.8722	99.8996	99.9355	99.9201	99.9658	99.9322	99.9103	99.8652	99.8162	99.9015	99.9138	99.8547	99.857	99.8557	99.8562	99.8541	99.8966	99.8993	99.8985	99.8957	99.924	99.9225	99.9517	99.952	99.9512	99.948	99.9512	99.9487	99.8734	99.8039	99.8847	99.8828	99.9149	99.8558
