isolateAccession,ST,ST,,isolateAccession,Source,Source,,isolateAccession,State,State,,isolateAccession,Year,Year,,isolateAccession,Legionella pneumophila str. Lens plasmid pLPL,Legionella pneumophila C9_S plasmid unamed2,Legionella pneumophila FFI102 ,Legionella pneumophila LG57 plasmid pLG57,Legionella pneumophila plasmid pLELO,Legionella sainthelensi LA01-117 plasmid pLA01-117_150k,,,,isolateAccession,CAS-TypeIA,CAS-TypeIC,CAS-TypeIF,CAS-TypeIIB,,,,,,,isolateAccession,,
C165-O_OH-2013-OC-ST222,#3c6ff8,COL#3c6ff8,,C165-O_OH-2013-OC-ST222,#ff7f00,COL#ff7f00,,C165-O_OH-2013-OC-ST222,#ffd8b1,COL#ffd8b1,,C165-O_OH-2013-OC-ST222,#525252,COL#525252,,C165-O_OH-2013-OC-ST222,0,0,0,0,0,0,"C165-O_OH-2013-OC-ST222,0,0,0,0,0,0","C165-O_OH-2013-OC-ST222,0,0,0,0,0,0",,C165-O_OH-2013-OC-ST222,0,1,0,0,,"C165-O_OH-2013-OC-ST222,0,1,0,0","C165-O_OH-2013-OC-ST222,0,1,0,0",,,,C165-O_OH-2013-OC-ST222,#808000,COL#808000
C166-O_OH-2013-OC-ST1742,#4daf4a,COL#4daf4a,,C166-O_OH-2013-OC-ST1742,#ff7f00,COL#ff7f00,,C166-O_OH-2013-OC-ST1742,#ffd8b1,COL#ffd8b1,,C166-O_OH-2013-OC-ST1742,#525252,COL#525252,,C166-O_OH-2013-OC-ST1742,0,0,0,0,0,0,"C166-O_OH-2013-OC-ST1742,0,0,0,0,0,0","C166-O_OH-2013-OC-ST1742,0,0,0,0,0,0",,C166-O_OH-2013-OC-ST1742,0,1,0,0,,"C166-O_OH-2013-OC-ST1742,0,1,0,0","C166-O_OH-2013-OC-ST1742,0,1,0,0",,,,C166-O_OH-2013-OC-ST1742,#808000,COL#808000
C167-S_MI-2015-CS-ST213,#e41a1c,COL#e41a1c,,C167-S_MI-2015-CS-ST213,#800080,COL#800080,,C167-S_MI-2015-CS-ST213,#42d4f4,COL#42d4f4,,C167-S_MI-2015-CS-ST213,#525252,COL#525252,,C167-S_MI-2015-CS-ST213,0,0,0,0,0,0,"C167-S_MI-2015-CS-ST213,0,0,0,0,0,0","C167-S_MI-2015-CS-ST213,0,0,0,0,0,0",,C167-S_MI-2015-CS-ST213,0,1,0,0,,"C167-S_MI-2015-CS-ST213,0,1,0,0","C167-S_MI-2015-CS-ST213,0,1,0,0",,,,C167-S_MI-2015-CS-ST213,#808000,COL#808000
C168-S_MI-2015-CS-ST213,#e41a1c,COL#e41a1c,,C168-S_MI-2015-CS-ST213,#800080,COL#800080,,C168-S_MI-2015-CS-ST213,#42d4f4,COL#42d4f4,,C168-S_MI-2015-CS-ST213,#525252,COL#525252,,C168-S_MI-2015-CS-ST213,0,0,0,0,0,0,"C168-S_MI-2015-CS-ST213,0,0,0,0,0,0","C168-S_MI-2015-CS-ST213,0,0,0,0,0,0",,C168-S_MI-2015-CS-ST213,0,1,0,0,,"C168-S_MI-2015-CS-ST213,0,1,0,0","C168-S_MI-2015-CS-ST213,0,1,0,0",,,,C168-S_MI-2015-CS-ST213,#808000,COL#808000
C169-S_MI-2015-CS-ST213,#e41a1c,COL#e41a1c,,C169-S_MI-2015-CS-ST213,#800080,COL#800080,,C169-S_MI-2015-CS-ST213,#42d4f4,COL#42d4f4,,C169-S_MI-2015-CS-ST213,#525252,COL#525252,,C169-S_MI-2015-CS-ST213,0,0,0,0,0,0,"C169-S_MI-2015-CS-ST213,0,0,0,0,0,0","C169-S_MI-2015-CS-ST213,0,0,0,0,0,0",,C169-S_MI-2015-CS-ST213,0,1,0,0,,"C169-S_MI-2015-CS-ST213,0,1,0,0","C169-S_MI-2015-CS-ST213,0,1,0,0",,,,C169-S_MI-2015-CS-ST213,#808000,COL#808000
C170-S_MI-2016-CS-ST222,#3c6ff8,COL#3c6ff8,,C170-S_MI-2016-CS-ST222,#800080,COL#800080,,C170-S_MI-2016-CS-ST222,#42d4f4,COL#42d4f4,,C170-S_MI-2016-CS-ST222,#525252,COL#525252,,C170-S_MI-2016-CS-ST222,0,0,0,0,0,0,"C170-S_MI-2016-CS-ST222,0,0,0,0,0,0","C170-S_MI-2016-CS-ST222,0,0,0,0,0,0",,C170-S_MI-2016-CS-ST222,0,1,0,0,,"C170-S_MI-2016-CS-ST222,0,1,0,0","C170-S_MI-2016-CS-ST222,0,1,0,0",,,,C170-S_MI-2016-CS-ST222,#808000,COL#808000
C171-O_MI-2010-OC-ST222,#3c6ff8,COL#3c6ff8,,C171-O_MI-2010-OC-ST222,#ff7f00,COL#ff7f00,,C171-O_MI-2010-OC-ST222,#42d4f4,COL#42d4f4,,C171-O_MI-2010-OC-ST222,#252525,COL#252525,,C171-O_MI-2010-OC-ST222,0,0,0,0,0,0,"C171-O_MI-2010-OC-ST222,0,0,0,0,0,0","C171-O_MI-2010-OC-ST222,0,0,0,0,0,0",,C171-O_MI-2010-OC-ST222,0,1,0,0,,"C171-O_MI-2010-OC-ST222,0,1,0,0","C171-O_MI-2010-OC-ST222,0,1,0,0",,,,C171-O_MI-2010-OC-ST222,#808000,COL#808000
C172-S_CT-2006-CS-ST213,#e41a1c,COL#e41a1c,,C172-S_CT-2006-CS-ST213,#800080,COL#800080,,C172-S_CT-2006-CS-ST213,#469990,COL#469990,,C172-S_CT-2006-CS-ST213,#737373,COL#737373,,C172-S_CT-2006-CS-ST213,0,0,0,0,0,0,"C172-S_CT-2006-CS-ST213,0,0,0,0,0,0","C172-S_CT-2006-CS-ST213,0,0,0,0,0,0",,C172-S_CT-2006-CS-ST213,0,1,0,0,,"C172-S_CT-2006-CS-ST213,0,1,0,0","C172-S_CT-2006-CS-ST213,0,1,0,0",,,,C172-S_CT-2006-CS-ST213,#808000,COL#808000
C173-S_NY-2009-CS-ST222,#3c6ff8,COL#3c6ff8,,C173-S_NY-2009-CS-ST222,#800080,COL#800080,,C173-S_NY-2009-CS-ST222,#fabed4,COL#fabed4,,C173-S_NY-2009-CS-ST222,#737373,COL#737373,,C173-S_NY-2009-CS-ST222,0,0,0,0,0,0,"C173-S_NY-2009-CS-ST222,0,0,0,0,0,0","C173-S_NY-2009-CS-ST222,0,0,0,0,0,0",,C173-S_NY-2009-CS-ST222,0,1,0,0,,"C173-S_NY-2009-CS-ST222,0,1,0,0","C173-S_NY-2009-CS-ST222,0,1,0,0",,,,C173-S_NY-2009-CS-ST222,#808000,COL#808000
C174-O_MD-2009-OC-ST222,#3c6ff8,COL#3c6ff8,,C174-O_MD-2009-OC-ST222,#ff7f00,COL#ff7f00,,C174-O_MD-2009-OC-ST222,#bfef45,COL#bfef45,,C174-O_MD-2009-OC-ST222,#737373,COL#737373,,C174-O_MD-2009-OC-ST222,0,0,0,0,0,0,"C174-O_MD-2009-OC-ST222,0,0,0,0,0,0","C174-O_MD-2009-OC-ST222,0,0,0,0,0,0",,C174-O_MD-2009-OC-ST222,0,1,0,0,,"C174-O_MD-2009-OC-ST222,0,1,0,0","C174-O_MD-2009-OC-ST222,0,1,0,0",,,,C174-O_MD-2009-OC-ST222,#808000,COL#808000
